doi_norm;inst_short_oa;inst_full_oa;institution_ror;affiliation_name;affiliation_identifier;affiliation_identifier_scheme;affiliation_scheme_uri;oa_full_norm;oa_short_norm;dc_aff_norm;manual_match
10.14473/csda/apc2nv;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/apc2nv;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/apc2nv;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/apc2nv;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/apc2nv;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/apc2nv;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/apc2nv;MU;Masaryk University;https://ror.org/02j46qs45;Masaryk University, Faculty of Social Studies;;;;masarykuniversity;mu;masarykuniversity, faculty of social studies;""
10.14473/csda/apc2nv;MU;Masaryk University;https://ror.org/02j46qs45;Masaryk University, Faculty of Social Studies;;;;masarykuniversity;mu;masarykuniversity, faculty of social studies;""
10.14473/csda/apc2nv;MU;Masaryk University;https://ror.org/02j46qs45;Masaryk University, Faculty of Social Studies;;;;masarykuniversity;mu;masarykuniversity, faculty of social studies;""
10.14473/csda/apc2nv;MU;Masaryk University;https://ror.org/02j46qs45;Masaryk University, Faculty of Social Studies;;;;masarykuniversity;mu;masarykuniversity, faculty of social studies;""
10.14473/csda/apc2nv;MU;Masaryk University;https://ror.org/02j46qs45;Masaryk University, Faculty of Social Studies;;;;masarykuniversity;mu;masarykuniversity, faculty of social studies;""
10.14473/csda/apyooi;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology, Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology, czech academy of sciences;""
10.14473/csda/apyooi;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology, Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology, czech academy of sciences;""
10.14473/csda/arrmj0;MU;Masaryk University;https://ror.org/02j46qs45;(Institut sociologických studii MU Brno);;;;masarykuniversity;mu;institut sociologickych studii mu brno);""
10.14473/csda/arrmj0/32btff;MU;Masaryk University;https://ror.org/02j46qs45;(Institut sociologických studii MU Brno);;;;masarykuniversity;mu;institut sociologickych studii mu brno);""
